,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
489,Brunel University London,2610,2265,0.51,88.9,145,5.6,3.2,200,7.6,7.9,0.51,1.7,101,England,2016-17,Uxbridge,Moderate
490,Buckinghamshire New University,2120,1850,0.61,85.7,65,3,3.4,210,9.9,10.9,0.61,2,105.6,England,2016-17,High Wycombe,High
491,The University of Buckingham,265,230,1.63,87.8,10,3,2.9,30,10.6,9.3,1.63,1.7,69.6,England,2016-17,Buckingham,High
492,UK College of Business and Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
493,London College of Business Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
494,Cambridge Arts and Sciences Limited,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Cambridge,Low
495,The University of Cambridge,2620,2565,0.39,96.3,20,0.8,1.5,30,1.2,2.2,0.39,10.6,51.4,England,2016-17,Cambridge,Low
496,The Cambridge Theological Federation,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Cambridge,Low
497,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
498,Canterbury Christ Church University,3230,2805,0.5,87.5,70,2.1,3,360,11.1,9.5,0.5,2.1,94.6,England,2016-17,Canterbury,High
499,The University of Central Lancashire,4815,4130,0.41,86,135,2.8,3.3,550,11.4,10.7,0.41,2.9,96.2,England,2016-17,Preston,High
500,University of Chester,3305,2890,0.48,88.2,90,2.7,3.1,325,9.9,8.7,0.48,1.8,97,England,2016-17,Chester,High
501,The University of Chichester,1440,1315,0.69,87.3,20,1.2,3,110,7.6,9.7,0.69,1.3,112.6,England,2016-17,Chichester,Moderate
502,Chicken Shed Theatre Company,25,25,4.49,85,0,0,2.4,0,3.7,12.6,4.49,0.4,131.1,England,2016-17,London,Low
503,The College of Integrated Chinese Medicine,40,40,4.02,90.2,0,0,1.7,5,7.1,8,4.02,0.4,91.9,England,2016-17,London,Moderate
504,Christie's Education Limited,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
505,Christ the Redeemer College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
506,The City College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
507,"City, University of London",2335,1965,0.56,89.9,155,6.6,3.1,215,9.2,7,0.56,2,92.7,England,2016-17,London,Moderate
508,Cliff College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Sheffield,Low
509,The Academy of Contemporary Music,655,560,1.17,86.8,10,1.2,2.6,85,13.3,10.6,1.17,2.6,131.5,England,2016-17,Guildford,High
510,Conservatoire for Dance and Drama,225,205,1.72,89.4,5,1.3,2.2,15,7.5,8.4,1.72,1.3,120.3,England,2016-17,London,Moderate
511,Courtauld Institute of Art,65,60,2.77,95,0,0,1.8,0,3.1,3.2,2.77,1.1,68.1,England,2016-17,London,Low
512,Court Theatre Training Company Ltd,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
513,Coventry University,5325,4745,0.36,87.6,175,3.3,3.4,400,7.5,9,0.36,2.5,101.1,England,2016-17,Coventry,Moderate
514,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Cranfield,Low
515,University for the Creative Arts,1460,1295,0.71,88.9,35,2.3,2.5,135,9.1,8.6,0.71,3.4,124.7,England,2016-17,Southampton,Moderate
