,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
315,ICON College of Technology and Management,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Keele,Low
316,"Imperial College of Science, Technology and Medicine",1410,1350,0.56,96.7,25,1.8,1.3,35,2.5,2,0.56,10.4,44.1,England,2015-16,London,Low
317,Institute of Contemporary Music Performance,165,150,2.16,87.8,0,1.2,2,15,9.6,10.2,2.16,0.7,126,England,2015-16,Canterbury,Moderate
318,The Islamic College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
319,Kaplan Open Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
320,Keele University,2345,2175,0.5,91,50,2.1,2.7,120,5.1,6.3,0.5,1.8,89.7,England,2015-16,Kingston ,Moderate
321,Kensington College of Business,40,35,4.83,76.6,0,2.4,4.2,5,16.7,19.3,4.83,0.6,107.3,England,2015-16,London,High
322,The University of Kent,4060,3715,0.38,89.8,130,3.2,3,215,5.3,7.3,0.38,2.3,97.1,England,2015-16,Lancaster,Moderate
323,King's College London,3535,3260,0.4,93.8,100,2.9,1.9,175,4.9,4.3,0.4,5,73.1,England,2015-16,Birmingham,Low
324,KLC School of Design,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Leeds,Low
325,Kingston University,4170,3620,0.41,86.1,200,4.8,3.4,350,8.3,10.5,0.41,3.9,90.7,England,2015-16,Kingston,Moderate
326,Kogan Academy of Dramatic Arts,15,10,0,0,0,0,0,5,0,0,0,0,0,England,2015-16,Leeds,Low
327,The University of Lancaster,2245,2065,0.52,92.2,45,2,2.5,135,6.1,5.3,0.52,1.8,88.7,England,2015-16,Leeds,Moderate
328,Leeds Arts University,490,465,1,91,10,1.8,2.1,15,2.9,6.8,1,2,125.5,England,2015-16,Leeds,Low
329,Leeds Beckett University,6135,5170,0.37,86.9,195,3.2,3.4,765,12.5,9.7,0.37,3.5,101,England,2015-16,Leicester,High
330,The University of Leeds,6025,5665,0.29,93.5,155,2.6,2.2,205,3.4,4.4,0.29,4.5,82.8,England,2015-16,Lincoln,Low
331,Leeds Trinity University,1070,950,0.83,88.5,25,2.3,2.8,100,9.2,8.6,0.83,1.9,86.9,England,2015-16,Liverpool,Moderate
332,The University of Leicester,2930,2640,0.46,92.2,95,3.2,2.5,195,6.6,5.3,0.46,2.3,89.2,England,2015-16,Liverpool,Moderate
333,The University of Lincoln,3250,3050,0.42,89.3,40,1.2,2.8,160,4.9,7.9,0.42,1.8,102.8,England,2015-16,Liverpool,Low
334,Liverpool Hope University,1400,1255,0.7,88.1,35,2.6,2.8,110,7.7,9.1,0.7,1.2,98.9,England,2015-16,Liverpool,Moderate
335,Liverpool John Moores University,5815,5135,0.36,88,165,2.8,3.1,515,8.9,9,0.36,2.7,99.2,England,2015-16,Liverpool,Moderate
336,The Liverpool Institute for Performing Arts,215,200,1.7,88.5,0,0.5,2.5,10,5.6,9,1.7,0.6,118.6,England,2015-16,Liverpool,Moderate
337,The University of Liverpool,4865,4475,0.35,92.7,125,2.6,2.4,265,5.5,4.9,0.35,4.1,84.3,England,2015-16,Liverpool,Moderate
338,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Liverpool,Low
339,"University of the Arts, London",2985,2655,0.45,89,70,2.3,2.2,260,8.8,8.8,0.45,20.2,96.9,England,2015-16,London,Moderate
340,London School of Business and Finance (UK) Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
341,London Bridge Business Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
342,London Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
343,London School of Business and Management,675,420,1.39,77.5,70,10.7,4.4,180,26.8,18.1,1.39,4.9,105,England,2015-16,London,High
344,London Churchill College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
345,City of London College,150,30,2.96,79.8,80,54.7,5.3,35,24.7,14.9,2.96,3,125,England,2015-16,London,High
346,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
347,City and Guilds of London Art School,25,25,3.99,86.9,0,4.2,2.2,0,0,10.8,3.99,0.8,109.3,England,2015-16,London,Low
348,London College of Creative Media Limited,45,35,5.03,88.2,0,0,2,10,22.7,9.7,5.03,0.3,119.2,England,2015-16,London,High
349,The London College UCK,150,130,2.41,82.2,0,0.7,3.4,15,11.5,14.4,2.41,1.6,116.6,England,2015-16,London,High
350,London Metropolitan University,2895,2140,0.6,83.4,235,8.1,3.2,520,18,13.4,0.6,4.6,96,England,2015-16,London,High
351,London School of Academics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
352,London South Bank University,2960,2510,0.54,86.1,85,2.9,3.1,365,12.3,10.7,0.54,2.3,94.5,England,2015-16,London,High
353,London School of Economics and Political Science,785,750,0.76,95.8,15,2,1.8,20,2.3,2.4,0.76,5.2,64.2,England,2015-16,London,Low
354,London School of Hygiene and Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
355,London School of Management Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
356,London School of Theology,45,40,4.23,88,0,0,2.1,5,13.3,9.9,4.23,8,56.5,England,2015-16,London,High
357,Stratford College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
358,London Studio Centre,95,90,2.5,89.1,0,0,2.3,5,5.2,8.5,2.5,0.3,136.9,England,2015-16,London,Moderate
359,West London College,15,10,0,0,0,0,0,5,0,0,0,0,0,England,2015-16,London,Low
360,The London Institute of Banking & Finance,45,40,3.69,87.3,5,6.8,3.4,5,6.8,9.4,3.69,0.4,107,England,2015-16,London,Moderate
361,Loughborough University,3455,3280,0.38,92.4,75,2.1,2.5,100,3,5,0.38,3.8,90.5,England,2015-16,Loughborough,Low
362,Luther King House Educational Trust,20,15,0,0,0,0,0,5,0,0,0,0,0,England,2015-16,Birmingham,Low
363,The Manchester Metropolitan University,8380,7390,0.29,87.9,265,3.2,3.2,720,8.6,8.9,0.29,3.8,102.2,England,2015-16,Manchester,Moderate
364,The University of Manchester,6185,5805,0.29,94,145,2.3,2.1,235,3.8,3.9,0.29,4.5,80.7,England,2015-16,Manchester,Low
365,Istituto Marangoni Limited,30,25,4.19,86.7,0,6.9,2.8,0,3.4,10.5,4.19,0.4,111.2,England,2015-16,London,Low
366,The Markfield Institute of Higher Education,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Leicester,Low
367,Matrix College of Counselling and Psychotherapy Ltd,30,25,6.13,90.6,0,0,1.2,5,20,8.2,6.13,0.3,91.2,England,2015-16,London,High
368,Mattersey Hall,25,20,4.95,86.8,0,4.3,2.1,0,8.7,11.1,4.95,1,72.7,England,2015-16,West Yorkshire,Moderate
369,St Mellitus College,75,75,2.2,88.2,0,2.6,2.3,0,0,9.5,2.2,8.3,54,England,2015-16,London,Low
370,The Metanoia Institute,30,20,6.5,90.6,0,0,1.5,5,25,7.9,6.5,1.8,80.7,England,2015-16,London,High
371,Middlesex University,4405,3440,0.48,85.7,240,5.4,3.3,725,16.5,10.9,0.48,2.6,100.1,England,2015-16,London,High
372,Millennium Performing Arts Ltd,20,20,0,0,0,0,0,5,0,0,0,0,0,England,2015-16,London,Low
373,Mountview Academy of Theatre Arts,95,90,2.12,88.7,0,2.1,2.2,0,1.1,9.1,2.12,0.4,125.9,England,2015-16,London,Low
374,Mont Rose College of Management and Sciences,70,50,4.35,79.8,5,4.3,5.3,15,24.3,14.9,4.35,1.3,124.8,England,2015-16,London,High
375,Moorlands College,60,60,2.76,86.7,0,0,1.9,0,3.2,11.4,2.76,2.5,65.1,England,2015-16,Bedfordshire,Low
376,All Nations Christian College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Nottingham,Low
377,Nazarene Theological College,25,20,5.39,84.5,0,3.8,2,5,11.5,13.5,5.39,2.1,57,England,2015-16,Birmingham,High
378,Nelson College London Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
379,Newcastle University,4565,4320,0.33,93.6,100,2.2,2.3,145,3.2,4.2,0.33,4.6,79.1,England,2015-16,Newcastle  ,Low
380,New College of the Humanities,30,30,3.56,93.3,0,6.7,2.2,0,0,4.5,3.56,0.2,76.5,England,2015-16,London,Low
381,Newman University,715,580,1.15,87.5,25,3.6,2.6,105,15,9.8,1.15,1,93.6,England,2015-16,Birmingham,High
382,St Nicholas Montessori Training Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Northampton,Low
383,Norland College,85,85,2.38,89,0,0,3.2,0,2.4,7.9,2.38,0.5,101.9,England,2015-16,Bath,Low
384,The University of Northampton,2990,2590,0.51,86.8,105,3.6,3.1,295,9.8,10.1,0.51,1.7,98.9,England,2015-16,Northampton,High
385,Northern College of Acupuncture,35,30,4.84,90.3,0,5.7,1.3,5,11.4,8.4,4.84,0.5,85.7,England,2015-16,Manchester,High
386,University of Northumbria at Newcastle,5565,5035,0.35,88.2,110,2,3.1,420,7.5,8.8,0.35,2.6,102.2,England,2015-16,Newcastle  ,Moderate
387,Norwich University of the Arts,660,615,0.97,89.3,5,0.8,2.3,35,5.6,8.3,0.97,1.6,128.1,England,2015-16,Norwich,Moderate
388,University of Nottingham,6155,5780,0.29,93.8,145,2.4,2.1,230,3.7,4.1,0.29,4.2,80.5,England,2015-16,Nottingham,Low
389,The Nottingham Trent University,6715,6060,0.32,88.7,155,2.3,3,500,7.4,8.4,0.32,3.7,99.7,England,2015-16,Nottingham,Moderate
390,Oak Hill College,30,30,3.47,90.2,0,0,2.3,0,0,7.4,3.47,11.5,44.2,England,2015-16,Watford,Low
391,The Open University in England,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Milton Keynes,Low
392,ICOM,25,20,6.05,90.3,0,4.3,1.6,5,13,8,6.05,1.8,77.6,England,2015-16,London,High
393,Oxford Brookes University,3380,3120,0.42,89.8,65,1.9,2.7,195,5.7,7.5,0.42,2.3,90.8,England,2015-16,Oxford,Moderate
394,Oxford Business College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Oxford,Low
395,The University of Oxford,2655,2600,0.38,96.4,25,0.9,1.5,30,1.1,2.2,0.38,9.5,57.3,England,2015-16,Oxford,Low
396,St Patrick's International College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Leeds,Low
397,Pearson College,120,110,2.34,84,0,1.6,4.1,10,7.4,11.9,2.34,0.5,106.5,England,2015-16,London,Moderate
398,Plymouth College of Art,540,455,1.28,86.6,15,3,2.4,70,13.1,11,1.28,3.7,119.6,England,2015-16,Plymouth,High
399,University of Plymouth,5045,4600,0.36,88.7,70,1.4,2.8,370,7.4,8.4,0.36,2.3,91.9,England,2015-16,Plymouth,Moderate
400,Point Blank Music School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
401,The University of Portsmouth,4780,4365,0.36,87.7,115,2.4,3.5,300,6.3,8.9,0.36,2.4,97.4,England,2015-16,Portsmouth,Moderate
402,Queen Mary University of London,3320,2950,0.42,92.8,180,5.5,2.4,185,5.6,4.8,0.42,2.9,81.9,England,2015-16,London,Moderate
403,Royal Academy of Dance,25,20,5.89,90.5,0,0,2.1,5,12,7.4,5.89,0.1,108.9,England,2015-16,London,High
404,Ravensbourne,725,640,1.02,87.2,15,2.3,2.8,70,9.4,10,1.02,1.7,108.3,England,2015-16,London,Moderate
405,"Richmond, The American International University in London",110,90,2.63,82.9,5,5.4,3.7,15,12.6,13.3,2.63,0.5,95.9,England,2015-16,London,High
406,The University of Reading,2870,2690,0.44,92.5,50,1.8,2.4,130,4.6,5,0.44,3.2,89.6,England,2015-16,Reading,Low
407,Regent's University London,175,125,2.44,82.8,15,9.2,3.5,35,19.7,13.7,2.44,1.2,96.2,England,2015-16,London,High
408,Regents Theological College,35,30,4.66,87,0,0,2.5,5,9.1,10.5,4.66,2.1,62.6,England,2015-16,Cambridge,Moderate
409,Regent College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
410,Roehampton University,2895,2295,0.57,84.9,145,4.9,3.2,460,15.8,11.9,0.57,4.8,96.5,England,2015-16,London,High
411,Rose Bruford College of Theatre and Performance,175,165,1.79,87.9,0,0.6,2.7,5,4,9.5,1.79,0.5,127.5,England,2015-16,Sidcup,Low
412,Royal Academy of Music,70,65,2.44,92.7,0,1.4,1.9,0,1.4,5.4,2.44,0.4,120.2,England,2015-16,London,Low
413,Royal Agricultural University,250,235,1.34,89.8,10,3.2,2.9,5,1.6,7.3,1.34,3.2,57.7,England,2015-16,Cirencester,Low
414,Royal College of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
415,Royal College of Music,50,50,2.96,92.9,0,3.8,1.7,0,1.9,5.3,2.96,0.4,121.6,England,2015-16,London,Low
416,The Royal Central School of Speech and Drama,220,205,1.57,89.8,5,1.4,2.1,10,3.7,8.1,1.57,0.6,124.9,England,2015-16,London,Low
417,Royal Holloway and Bedford New College,1885,1715,0.54,92.4,85,4.6,2.5,85,4.5,5.1,0.54,1.6,97.5,England,2015-16,Egham,Low
418,Royal Northern College of Music,140,135,1.84,92,0,0,2,5,2.9,6,1.84,0.6,121.1,England,2015-16,Manchester,Low
419,The Royal Veterinary College,405,385,1.04,95.8,10,2,1.3,10,2.2,3,1.04,7.6,38.4,England,2015-16,London,Low
420,SAE Education Limited,365,280,1.69,81.1,10,3,4.2,75,20.4,14.7,1.69,3.2,74.6,England,2015-16,London,High
421,"St George's, University of London",630,600,0.91,94.9,5,1.1,1.4,25,3.8,3.7,0.91,2.4,73.2,England,2015-16,London,Low
422,"St Mary's University, Twickenham",1310,1145,0.76,87.4,40,3.1,3,125,9.5,9.6,0.76,1.3,97.6,England,2015-16,Twickenham,Moderate
423,The University of Salford,4770,4065,0.42,87.1,160,3.4,3.1,545,11.4,9.8,0.42,2.6,97.6,England,2015-16,Salford,High
424,The Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
425,London School of Science and Technology Limited,140,105,2.95,78.7,5,2.9,4.1,30,21,17.1,2.95,1.7,109.8,England,2015-16,London,High
426,SOAS University of London,715,620,0.99,91.3,35,4.7,2.5,65,9.1,6.2,0.99,1.6,85.7,England,2015-16,London,Moderate
427,Sheffield Hallam University,6815,6280,0.31,88.4,95,1.4,3,440,6.4,8.5,0.31,2.9,97.1,England,2015-16,Sheffield,Moderate
428,The University of Sheffield,4555,4325,0.33,93.9,95,2.1,2.1,130,2.9,4,0.33,4.1,78.1,England,2015-16,Sheffield,Low
429,The Sherwood Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Sheffield,Low
430,Slough Borough Council,25,25,3.9,90.6,0,0,1.2,0,0,8.2,3.9,0.6,134.1,England,2015-16,Slough,Low
431,Southampton Solent University,2685,2390,0.52,85.3,60,2.2,3.4,235,8.8,11.3,0.52,2.6,102.3,England,2015-16,Southampton,Moderate
432,The University of Southampton,4835,4610,0.32,93.4,85,1.7,2.2,145,3,4.5,0.32,3.1,88.2,England,2015-16,Southampton,Low
433,Spurgeon's College,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
434,Staffordshire University,2690,2250,0.57,84.4,90,3.3,3.5,350,13,12.1,0.57,2.3,91.6,England,2015-16,Stoke-on-Trent,High
435,University of St Mark and St John,720,615,1.09,87,15,1.9,2.4,90,12.3,10.6,1.09,1.3,103.7,England,2015-16,Plymouth,High
436,University of Suffolk,1280,1065,0.86,87.1,20,1.7,2.5,195,15.4,10.4,0.86,1.3,99.8,England,2015-16,Ipswich,High
437,The University of Sunderland,2695,2305,0.56,85.5,75,2.7,3.4,320,11.8,11.1,0.56,2.6,105.2,England,2015-16,Sunderland,High
438,The University of Surrey,2560,2335,0.5,91,65,2.5,2.5,160,6.2,6.5,0.5,1.7,90.5,England,2015-16,Guildford,Moderate
439,The University of Sussex,2965,2750,0.44,91.5,80,2.7,2.7,135,4.6,5.9,0.44,1.9,93.6,England,2015-16,Brighton,Low
440,Teesside University,3345,2995,0.47,85.8,40,1.2,3.3,305,9.2,10.9,0.47,2.4,93.9,England,2015-16,Middlesbrough,Moderate
441,Tottenham Hotspur Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
442,Trinity Laban Conservatoire of Music and Dance,185,170,1.83,91.7,5,2.7,2,10,5.9,6.3,1.83,0.7,127.9,England,2015-16,London,Moderate
443,The University of Law,325,290,1.38,87.8,15,4.6,3.7,20,6.5,8.5,1.38,3.3,75.9,England,2015-16,London,Moderate
444,University College London,2890,2730,0.42,95,55,1.9,1.7,105,3.6,3.2,0.42,4.6,62.7,England,2015-16,London,Low
445,The University of Warwick,3285,3080,0.4,94.8,65,2,1.8,140,4.3,3.3,0.4,5.5,68.6,England,2015-16,Coventry,Low
446,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Farnham,Low
447,"University of the West of England, Bristol",5405,4915,0.35,88.9,130,2.4,2.9,360,6.6,8.2,0.35,2.6,94.8,England,2015-16,Bristol,Moderate
448,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Chichester,Low
449,The University of West London,2455,2035,0.6,85,90,3.6,3.1,330,13.5,12,0.6,2,102.3,England,2015-16,London,High
450,The University of Westminster,3550,3055,0.45,86.9,190,5.3,3.3,310,8.7,9.8,0.45,2.4,98.8,England,2015-16,London,Moderate
451,The University of Winchester,1965,1790,0.57,89.6,45,2.4,2.8,125,6.4,7.7,0.57,1.7,96.7,England,2015-16,Winchester,Moderate
452,West London College of Business and Management Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
453,The University of Wolverhampton,5005,4115,0.43,84.4,135,2.7,3.3,755,15.1,12.3,0.43,4.1,94,England,2015-16,Wolverhampton,High
454,University of Worcester,2425,2175,0.54,88.2,45,1.8,2.6,210,8.7,9.2,0.54,2.4,96.6,England,2015-16,Worcester,Moderate
455,Writtle University College,190,165,1.94,89,5,2.1,2,20,11.1,9,1.94,9.1,35.6,England,2015-16,Chelmsford,High
456,York St John University,1440,1300,0.69,89.6,30,2,2.7,110,7.7,7.7,0.69,1.1,98.7,England,2015-16,York,Moderate
457,The University of York,3530,3285,0.39,93.2,90,2.6,2.2,150,4.3,4.6,0.39,2.7,84.5,England,2015-16,York,Low
458,AA School of Architecture,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Oxford,Low
459,ABI College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
460,Access to Music Limited,30,20,6.26,86,0,3.4,3.1,5,20.7,10.9,6.26,2.3,106.8,England,2016-17,London,High
461,Academy of Live and Recorded Arts,70,60,3.09,85.5,0,2.9,2.8,5,7.4,11.6,3.09,1.1,117.6,England,2016-17,London,Moderate
462,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Birmingham,Low
463,Anglia Ruskin University,5385,4620,0.38,83.5,155,2.9,3.5,610,11.3,13,0.38,13,87.7,England,2016-17,Cambridge,High
464,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,London,Low
465,Arden University,470,310,1.65,75.8,40,9,4.1,115,24.9,20.1,1.65,2.6,92,England,2016-17,Coventry,High
466,Arts Educational Schools,75,70,2.67,88.5,0,0,2.5,5,5.3,9,2.67,0.3,133.6,England,2016-17,London,Moderate
467,Aston University,2835,2625,0.43,90,115,4,3.3,95,3.4,6.7,0.43,2.5,100.6,England,2016-17,Birmingham,Low
468,Bath Spa University,2200,1990,0.55,89.6,60,2.6,2.6,155,7,7.7,0.55,1.7,109,England,2016-17,Bath,Moderate
469,The University of Bath,2660,2555,0.41,94.7,50,1.9,2,50,2,3.3,0.41,6.6,69.1,England,2016-17,Bath,Low
470,University of Bedfordshire,3205,2245,0.6,82.9,245,7.6,3.5,715,22.4,13.6,0.6,3.1,98.9,England,2016-17,Bedford,High
471,BIMM Limited,1775,1435,0.74,86.1,45,2.4,2.8,295,16.7,11.1,0.74,6.6,122.7,England,2016-17,London,High
472,Birkbeck College,935,760,0.97,82.4,40,4.4,3.4,135,14.3,14.1,0.97,3.4,77.6,England,2016-17,London,High
473,Birmingham City University,5815,5000,0.37,87.2,185,3.1,3.2,630,10.9,9.5,0.37,2.9,103.7,England,2016-17,Birmingham,High
474,The University of Birmingham,5265,4975,0.3,94.4,145,2.8,2.1,145,2.7,3.5,0.3,4.5,79.2,England,2016-17,Birmingham,Low
475,University College Birmingham,850,745,0.95,84.3,20,2.4,3.1,85,9.9,12.6,0.95,2,104,England,2016-17,Birmingham,High
476,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Bristol,Low
477,Bishop Grosseteste University,560,525,0.99,89.9,10,1.6,2.2,25,4.6,7.8,0.99,2.7,80.8,England,2016-17,Lincoln,Low
478,Bloomsbury Institute,730,445,1.38,73.3,70,9.5,5,215,29.3,21.7,1.38,4.9,94.1,England,2016-17,London,High
479,The University of Bolton,1595,1270,0.78,84.2,65,4.1,3.5,255,16.1,12.2,0.78,1.5,99.1,England,2016-17,Bolton,High
480,The Arts University Bournemouth,925,860,0.79,90.1,20,2.3,2.4,45,4.9,7.4,0.79,2.4,130.4,England,2016-17,Bournemouth,Low
481,Bournemouth University,4360,3890,0.39,88,160,3.7,3.2,305,7,8.8,0.39,2.6,103.9,England,2016-17,Bournemouth,Moderate
482,BPP University,330,245,1.73,83.9,20,5.5,4.1,65,19.7,12,1.73,2.6,75.8,England,2016-17,London,High
483,The University of Bradford,2065,1755,0.59,87.6,140,6.9,3.5,170,8.3,8.9,0.59,1.7,100.8,England,2016-17,Bradford,Moderate
484,The University of Brighton,4625,4060,0.4,88.3,160,3.5,3,405,8.8,8.8,0.4,2.6,94.6,England,2016-17,Brighton,Moderate
485,The University College of Osteopathy,195,175,1.93,90.7,0,1,2,15,8.7,7.3,1.93,1.2,85.9,England,2016-17,London,Moderate
486,The University of Bristol,4470,4280,0.32,95.3,90,2,1.8,105,2.3,2.9,0.32,5.8,67.5,England,2016-17,Bristol,Low
487,Brit College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Bristol,Low
488,Trinity College Bristol,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2016-17,Bristol,Low
